id;denominazione;sede;contatti;tipologia;servizi_dichiarati;destinatari;equipe_professionisti;autorizzazione_sanitaria;accreditamento;convenzione_ssn;regime;sito_ufficiale;fonte_istituzionale;data_verifica;stato
PRI-001;Centro Bini Roma;Via Crescenzio 42, int. 9 e 10, Roma;"Sito ufficiale; contatto/prenotazione nella pagina del Centro";Centro privato ambulatoriale di psichiatria e psicoterapia;"Psichiatria; psicoterapia; ADHD; DCA; psicopatologia perinatale; età evolutiva/neurosviluppo; dipendenze; disturbi dell'umore e psicotici";Adulti e, per alcune aree, età evolutiva;Team multidisciplinare con psichiatri, psicoterapeuti e professionisti delle aree cliniche dichiarate;Non documentata nella fonte consultata;Non documentato;"Non documentata; la scheda descrive attività privata";Ambulatorio privato;https://roma.centrobini.it/;Non acquisita;2026-09-21;"Verificato descrittivamente; stato amministrativo da verificare"
PRI-002;Istituto A.T. Beck – sede clinica Roma;"Piazza San Bernardo 109, Roma; area età evolutiva anche Via Nizza 63";"+39 06 4819817 / +39 06 44703820; info@istitutobeck.it";Centro privato di psicoterapia e valutazione psicologica;"Psicoterapia cognitivo-comportamentale; valutazione; età evolutiva; DSA; supporto a genitori";Adulti, bambini, adolescenti, famiglie;"Psicologi e psicoterapeuti; équipe DSA dichiarata";"Per certificazione DSA il centro dichiara équipe riconosciuta ai sensi della normativa regionale; atto puntuale da verificare";"Non equiparato a accreditamento SSN; riconoscimento DSA dichiarato";Non documentata;Ambulatorio privato / psicoterapia;https://www.istitutobeck.com/;MUR: https://elencossp.mur.gov.it/CercaIstituti.aspx?IstitutoID=228&Regione=7 (riguarda la scuola di specializzazione, non autorizzazione sanitaria del centro clinico);2026-09-21;"Verificato descrittivamente; amministrativo da distinguere"
PRI-003;Centro Medico Santagostino – Roma Via Goito;Roma, Via Goito;Prenotazione online dal sito;Centro medico privato ambulatoriale;"Psicologia; psicoterapia; neuropsicologia; percorso DCA multidisciplinare; altre specialità";"Adulti; alcune prestazioni per adolescenti secondo professionista/percorso";Psicoterapeuti, nutrizionisti e altre figure medico-sanitarie per il percorso DCA;Non documentata nella fonte consultata;Non documentato;"Non documentata per le attività qui descritte; presentate come prestazioni private a pagamento";"Ambulatorio privato; presenza e online";https://www.santagostino.it/it/news/percorso-disturbi-del-comportamento-alimentare-dca-ora-anche-a-roma;Non acquisita;2026-09-21;"Verificato 2026; stato amministrativo da verificare"
PRI-004;Qrare Centro Medico;"Roma; indirizzo puntuale da verificare sul sito in prenotazione";"376 2715110; prenotazione online/WhatsApp";Centro medico polispecialistico privato;"Psichiatria; neuropsichiatria infantile; neurologia; ADHD; DSA; autismo; neuropsicologia; test ed esami neurologici";Adulti, bambini e adolescenti secondo area;Psichiatri, neuropsichiatri infantili, neurologi, psicologi e altre figure dichiarate;"Il centro dichiara équipe autorizzata ASL per certificazione DSA; atto istituzionale non acquisito";Non documentato come accreditamento SSN;Non documentata;"Ambulatorio privato; alcune prestazioni online/domicilio";https://www.qrare.it/;Da acquisire per il riconoscimento DSA;2026-09-21;"Verificato descrittivamente; riconoscimento amministrativo da confermare su fonte istituzionale"
PRI-005;Centro ADHD Roma;"Roma; sede puntuale da verificare al contatto";Prenotazione dal sito ufficiale;Centro privato specializzato ADHD adulto;"Valutazione ADHD adulto; percorsi post-diagnosi; psicoeducazione; supporto psicologico; consulenza a partner e familiari";Adulti e familiari/partner;Psicologi e psicoterapeuti dichiarati;Non documentata;Non documentato;Non documentata;Ambulatorio privato;https://www.adhdroma.com/;Non acquisita;2026-09-21;"Verificato descrittivamente; stato amministrativo da verificare"
PRI-006;NESVI – Centro di Neuropsicologia dello Sviluppo;Via Reggio Calabria 1, Piazza Bologna, Roma;"info@nesvi.it; lun–ven 08–20, sab 09–14";Centro privato multidisciplinare età evolutiva;"Neuropsicologia; logopedia; neuropsicomotricità; psicoterapia; valutazioni DSA";"Bambini e ragazzi; famiglie";Équipe multidisciplinare;Centro dichiara riconoscimento Regione Lazio per certificazione diagnostica DSA ai sensi DGR 32/2020;Non documentato come accreditamento SSN;Non documentata;Ambulatorio privato;https://www.nesvi.it/;Atto puntuale regionale non acquisito;2026-09-21;"Verificato descrittivamente; riconoscimento DSA da incrociare con elenco istituzionale"
PRI-007;Centro CREEA;Via Francesco Tovaglieri 17, Roma;"Sito ufficiale; lun–ven 08–20, sab 08–13";Centro medico-riabilitativo privato con attività territoriali;"Neuropsichiatria infantile; logopedia; neuropsicomotricità; psicologia; psichiatria; DSA";Età evolutiva e adulta;Équipe multidisciplinare dichiarata;Il centro dichiara struttura territoriale ex art. 26 e riconoscimento DSA DGR 32/2020;"Accreditamento regionale dichiarato dal gestore per specifiche attività; fonte istituzionale puntuale da acquisire";"Da distinguere dall'attività privata; non dedotta dal solo accreditamento";"Ambulatorio/riabilitativo; attività privata e attività istituzionale da distinguere";https://www.centrocreea.it/;Da acquisire;2026-09-21;"Verificato descrittivamente; assetto SSN da verificare"
PRI-008;Percorsi In Rete;Via della Magliana Nuova 166, Roma;"379 1409412 / 329 8750431; info@percorsiinrete.it";Centro privato di psicologia, riabilitazione e psicoterapia;"Psicologia; logopedia; neuropsicomotricità; neuropsicologia; psicoterapia; diagnosi, prevenzione e intervento";Età evolutiva;Professionisti multidisciplinari;Non documentata;Non documentato;Non documentata;Ambulatorio privato;https://www.percorsiinrete.it/;Non acquisita;2026-09-21;"Verificato descrittivamente; stato amministrativo da verificare"
PRI-009;Centro Pieralice;Via Bassano del Grappa 19, Roma;Contatti tramite sito ufficiale;Centro privato multidisciplinare età evolutiva;"Logopedia; neuropsicomotricità; psicologia; neuropsicologia cognitiva; tutoring e counselling scolastico; sportello di ascolto";Bambini, adolescenti e famiglie;Équipe multidisciplinare e consulenze esterne dichiarate;Non documentata;Non documentato;Non documentata;Ambulatorio privato;https://www.centropieralice.com/;Non acquisita;2026-09-21;"Verificato descrittivamente; stato amministrativo da verificare"
PRI-010;Centro Clinico IRPPI;Corso Vittorio Emanuele II 305, Roma;"328 8913022 / 350 1576622; centroclinicoirppi@gmail.com";Centro privato di psicoterapia e psicodiagnostica;"Psicoterapia integrata; psicodiagnostica; supporto psicologico; età evolutiva; psicologia giuridica; al bisogno piani farmacologici secondo quanto dichiarato";Adulti, coppie, famiglie e minori secondo il servizio;Psicologi/psicoterapeuti e figure mediche secondo le prestazioni dichiarate;Non documentata;Non documentato;Non documentata;Ambulatorio privato;https://www.irppiscuolapsicoterapia.it/centroclinico/;Non acquisita;2026-09-21;"Verificato descrittivamente; stato amministrativo da verificare"
PRI-011;Fondazione Santa Lucia IRCCS – Ambulatorio di Neuropsicologia (accesso privato);Via Ardeatina 306, Roma;"06 5150 11; prenotazione lun–ven 09–17";Ambulatorio di neuropsicologia con canali SSN, SIMP e privato distinti;Valutazione cognitivo-comportamentale e programma terapeutico neuropsicologico;Pazienti con lesioni acute o croniche del sistema nervoso centrale;Équipe neuropsicologica indicata sul sito;"IRCCS; dettagli autorizzativi non ricostruiti in questa scheda";"Integrata con il SSR per prestazioni SSN; distinto dall'accesso privato qui censito";"Sì per canale SSN; il record V7.5 descrive anche l'opzione privata a pagamento/assicurazione, separata";Ambulatorio – canale privato distinto da SSN;https://www.hsantalucia.it/neuropsicologia;https://www.hsantalucia.it/neuropsicologia;2026-09-21;"Verificato; rapporto SSN esplicitamente distinto"
